Phase,Week,Filename,Status,Quality_Score,Lines,Has_Analogy_Start,Code_Blocks,Step_by_Step,Priority,Path
3,11,03_bloc_pattern.md,NEEDS_WORK,60,580,NO,24,NO,HIGH,phase_3_flutter_ui_mastery/week_11_state_management/
3,12,01_state_management_comparison.md,GOOD,80,680,YES,32,YES,None,phase_3_flutter_ui_mastery/week_12_advanced_state/
3,12,02_state_persistence.md,GOOD,80,720,YES,36,YES,None,phase_3_flutter_ui_mastery/week_12_advanced_state/
4,13,00_what_is_an_api.md,GOOD,100,399,YES,42,YES,None,phase_4_api_integration/week_13_api_fundamentals/
4,13,01_json_explained.md,NEEDS_WORK,60,557,NO,86,NO,HIGH,phase_4_api_integration/week_13_json_fundamentals/
4,13,02_data_models.md,GOOD,80,665,YES,62,YES,None,phase_4_api_integration/week_13_json_fundamentals/
4,14,01_http_fundamentals.md,GOOD,80,630,YES,68,YES,None,phase_4_api_integration/week_14_http_and_rest/
5,17,01_flutter_web_setup.md,GOOD,100,619,YES,70,YES,None,phase_5_flutter_web_mastery/week_17_flutter_web_fundamentals/
5,17,02_web_responsive_layouts.md,NEEDS_WORK,60,811,NO,34,NO,MEDIUM,phase_5_flutter_web_mastery/week_17_flutter_web_fundamentals/
5,18,01_landing_page_part1_setup.md,GOOD,80,692,YES,30,YES,None,phase_5_flutter_web_mastery/week_18_landing_page_project/
5,18,02_landing_page_part2_features.md,GOOD,80,734,YES,38,YES,None,phase_5_flutter_web_mastery/week_18_landing_page_project/
5,18,03_landing_page_part3_testimonials_pricing.md,GOOD,80,761,YES,18,YES,None,phase_5_flutter_web_mastery/week_18_landing_page_project/
5,18,04_landing_page_part4_contact_footer.md,GOOD,80,929,YES,22,YES,None,phase_5_flutter_web_mastery/week_18_landing_page_project/
5,19,01_dashboard_part1_setup.md,GOOD,80,967,YES,30,YES,None,phase_5_flutter_web_mastery/week_19_dashboard_project/
5,19,02_dashboard_part2_content.md,GOOD,80,1212,YES,28,YES,None,phase_5_flutter_web_mastery/week_19_dashboard_project/
5,19,03_dashboard_part3_data_tables.md,GOOD,100,1225,YES,32,YES,None,phase_5_flutter_web_mastery/week_19_dashboard_project/
5,20,01_weather_app_setup.md,GOOD,80,683,YES,44,YES,None,phase_5_flutter_web_mastery/week_20_weather_api_project/
5,20,02_weather_app_ui.md,GOOD,80,1021,YES,26,YES,None,phase_5_flutter_web_mastery/week_20_weather_api_project/
5,21,01_flutter_web_deployment.md,GOOD,80,566,YES,70,YES,None,phase_5_flutter_web_mastery/week_21_deployment_optimization/
5,21,02_pwa_and_optimization.md,GOOD,80,808,YES,32,YES,None,phase_5_flutter_web_mastery/week_21_deployment_optimization/
6,22,01_unit_testing_basics.md,GOOD,100,891,YES,78,YES,None,phase_6_testing_quality/week_22_testing_fundamentals/
6,22,02_widget_testing.md,GOOD,80,942,YES,58,YES,None,phase_6_testing_quality/week_22_testing_fundamentals/
6,22,03_integration_testing_mocking.md,GOOD,80,892,YES,62,YES,None,phase_6_testing_quality/week_22_testing_fundamentals/
6,22,04_test_coverage.md,GOOD,80,760,YES,64,YES,None,phase_6_testing_quality/week_22_testing_fundamentals/
7,23,01_futures_vs_streams.md,NEEDS_WORK,60,554,NO,76,NO,HIGH,phase_7_advanced_async/week_23_async_mastery/
7,23,02_stream_controllers.md,GOOD,80,866,YES,48,YES,None,phase_7_advanced_async/week_23_async_mastery/
7,23,03_isolates_parallel_processing.md,GOOD,80,638,YES,48,YES,None,phase_7_advanced_async/week_23_async_mastery/
7,23,04_complex_async_patterns.md,NEEDS_WORK,60,657,NO,30,NO,HIGH,phase_7_advanced_async/week_23_async_mastery/
8,24,01_shared_preferences.md,GOOD,80,641,YES,40,YES,None,phase_8_local_storage/week_24_storage_fundamentals/
8,24,02_sqlite_databases.md,GOOD,80,651,YES,36,YES,None,phase_8_local_storage/week_24_storage_fundamentals/
8,24,03_hive_nosql.md,GOOD,80,1265,YES,84,YES,None,phase_8_local_storage/week_24_storage_fundamentals/
8,24,04_drift_type_safe_sql.md,GOOD,80,1170,YES,72,YES,None,phase_8_local_storage/week_24_storage_fundamentals/
8,24,05_offline_first_architecture.md,GOOD,80,1172,YES,44,YES,None,phase_8_local_storage/week_24_storage_fundamentals/
9,25,01_implicit_animations.md,NEEDS_WORK,60,1046,NO,48,NO,HIGH,phase_9_animations_mastery/week_25_animation_fundamentals/
9,25,02_explicit_animations.md,NEEDS_WORK,60,1028,NO,40,NO,HIGH,phase_9_animations_mastery/week_25_animation_fundamentals/
9,25,03_hero_animations.md,NEEDS_WORK,60,722,NO,38,NO,HIGH,phase_9_animations_mastery/week_25_animation_fundamentals/
9,25,04_custom_animations_painter.md,NEEDS_WORK,60,700,NO,28,NO,HIGH,phase_9_animations_mastery/week_25_animation_fundamentals/
9,25,05_staggered_animations.md,NEEDS_WORK,60,711,NO,28,NO,HIGH,phase_9_animations_mastery/week_25_animation_fundamentals/
10,26,01_gorouter_basics.md,GOOD,80,480,YES,22,NO,None,phase_10_navigation_gorouter/week_26_navigation_fundamentals/
10,26,02_authentication_guards.md,POOR,40,155,NO,2,NO,CRITICAL,phase_10_navigation_gorouter/week_26_navigation_fundamentals/
10,26,03_nested_navigation_shellroute.md,NEEDS_WORK,60,328,NO,14,NO,HIGH,phase_10_navigation_gorouter/week_26_navigation_fundamentals/
10,26,04_deep_linking.md,POOR,40,224,NO,26,NO,CRITICAL,phase_10_navigation_gorouter/week_26_navigation_fundamentals/
10,26,05_route_transitions.md,POOR,40,89,NO,6,NO,CRITICAL,phase_10_navigation_gorouter/week_26_navigation_fundamentals/
11,27,01_firebase_auth_complete.md,NEEDS_WORK,60,301,NO,12,NO,HIGH,phase_11_firebase/week_27_firebase_fundamentals/
11,27,02_firestore_database.md,NEEDS_WORK,60,420,NO,18,NO,HIGH,phase_11_firebase/week_27_firebase_fundamentals/
11,27,03_firebase_storage.md,POOR,40,108,NO,2,NO,CRITICAL,phase_11_firebase/week_27_firebase_fundamentals/
11,27,04_cloud_functions.md,POOR,40,35,NO,4,NO,CRITICAL,phase_11_firebase/week_27_firebase_fundamentals/
11,28,01_push_notifications.md,POOR,40,27,NO,2,NO,CRITICAL,phase_11_firebase/week_28_firebase_advanced/
12,29,01_permissions_and_camera.md,NEEDS_WORK,60,341,NO,14,NO,HIGH,phase_12_platform_features/week_29_native_integration/
12,29,02_geolocation_maps.md,POOR,40,52,NO,4,NO,CRITICAL,phase_12_platform_features/week_29_native_integration/
12,29,03_local_notifications.md,POOR,40,35,NO,2,NO,CRITICAL,phase_12_platform_features/week_29_native_integration/
13,30,01_android_deployment_complete.md,NEEDS_WORK,60,275,NO,32,YES,MEDIUM,phase_13_deployment/week_30_store_submission/
13,30,02_ios_deployment.md,NEEDS_WORK,60,36,NO,2,YES,MEDIUM,phase_13_deployment/week_30_store_submission/
14,31,01_performance_optimization_guide.md,NEEDS_WORK,60,407,NO,48,NO,MEDIUM,phase_14_performance/week_31_optimization/
14,31,02_memory_management.md,POOR,40,49,NO,2,NO,CRITICAL,phase_14_performance/week_31_optimization/
15,32,01_riverpod_advanced_patterns.md,NEEDS_WORK,60,455,NO,28,NO,MEDIUM,phase_15_advanced_state/week_32_production_patterns/
15,32,02_bloc_advanced.md,POOR,40,54,NO,2,NO,CRITICAL,phase_15_advanced_state/week_32_production_patterns/
16,33,01_introduction_to_app_flavors.md,NEEDS_WORK,60,186,YES,18,NO,MEDIUM,phase_16_bonus_professional_features/week_33_app_flavors/
16,33,02_android_flavor_setup.md,GOOD,100,327,YES,36,YES,None,phase_16_bonus_professional_features/week_33_app_flavors/
16,33,03_ios_schemes_setup.md,GOOD,100,563,YES,44,YES,None,phase_16_bonus_professional_features/week_33_app_flavors/
16,33,04_dart_environment_config.md,GOOD,100,1038,YES,82,YES,None,phase_16_bonus_professional_features/week_33_app_flavors/
16,33,05_advanced_flavor_techniques.md,GOOD,100,1185,YES,92,YES,None,phase_16_bonus_professional_features/week_33_app_flavors/
16,33,06_production_ready_setup.md,GOOD,100,1308,YES,76,YES,None,phase_16_bonus_professional_features/week_33_app_flavors/
17,34,01_chat_architecture_fundamentals.md,GOOD,100,756,YES,30,YES,None,phase_17_bonus_advanced_features/week_34_smart_chat/
17,34,02_firebase_setup_and_security.md,GOOD,100,965,YES,60,YES,None,phase_17_bonus_advanced_features/week_34_smart_chat/
17,34,03_building_chat_ui.md,GOOD,100,1142,YES,32,YES,None,phase_17_bonus_advanced_features/week_34_smart_chat/
17,34,04_realtime_messaging.md,GOOD,100,993,YES,22,YES,None,phase_17_bonus_advanced_features/week_34_smart_chat/
17,34,05_advanced_features.md,GOOD,100,972,YES,8,YES,None,phase_17_bonus_advanced_features/week_34_smart_chat/
17,34,06_media_messages.md,GOOD,100,987,YES,24,YES,None,phase_17_bonus_advanced_features/week_34_smart_chat/
17,34,07_push_notifications.md,GOOD,100,710,YES,36,YES,None,phase_17_bonus_advanced_features/week_34_smart_chat/
17,34,08_advanced_features_search_groups_encryption.md,GOOD,100,965,YES,26,YES,None,phase_17_bonus_advanced_features/week_34_smart_chat/
